ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ПРОМИНТЕЛЛЕКТ",4028045633,40969000.00,41573000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СТАЙЛЕФИН",4028045778,0.00,0.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "КАТУМ",4028046098,0.00,1000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "АЛВИ",6901026679,0.00,0.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СЛАВЭКС",6901026100,38068000.00,38520000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ГЁТЦЕ АРМАТУРЕН",7720719480,31939000.00,29178000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "АЛЬТЕРИС",7730159043,26261000.00,25157000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ВОЛГА-СЕРВИС",6901026140,11565000.00,11619000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  "БЕСТСТУДИО",7725531467,221000.00,217000.00
АКЦИОНЕРНОЕ ОБЩЕСТВО "КОМПАНИЯ АЗБУКА АУДИТА",7730159967,4406000.00,5403000.00
АКЦИОНЕРНОЕ ОБЩЕСТВО "ПРИВОД-КОМПЛЕКТАЦИЯ",7730159413,103096000.00,150621000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "АВТОМИР ЗАВОЛЖСКИЙ",6901026446,0.00,0.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ГРАНД",6901026069,4529000.00,5115000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ "ПАРТНЕР",4028045827,54819000.00,51815000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СЕКТОР М",7730159283,2000.00,3000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СИНТЭКО-ЦЕНТР",7724792667,5685000.00,4986000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ЮРВЕД",7716690686,0.00,0.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "БАЛЦЕНТР",7730159318,0.00,316000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ВЕРОН",8603170430,22783000.00,17783000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "КОРЕ ПАРТНЕРС СОФТ",7724792642,56351000.00,56383000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ТЕПЛОСТАР",7203224739,0.00,0.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ГРАС ХОЛДИНГ",7736518789,11453000.00,9886000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ПАРКИНГ- ХОЛЛ",7730159156,533000.00,537000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  "ВИЛАР-СМ",7805404584,0.00,0.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТОРГОВАЯ КОМПАНИЯ "СОЮЗ",7708554922,5864000.00,5736000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "КРОКУС",5403219605,4246000.00,3606000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ФИРМА ТОМАС",6901026245,3191000.00,2227000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ГОРОДСКОЕ РАДИО",4028046034,0.00,0.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "МИР ВОДЫ",4028045922,13000.00,15000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ЦЕНТР ЭКСПЕРТНЫХ ТЕХНОЛОГИЙ МГУ ИМЕНИ М.В.ЛОМОНОСОВА",7729683799,0.00,0.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ХИМИЧЕСКАЯ РЕСУРСО- И ЭНЕРГОСБЕРЕГАЮЩАЯ ТЕХНОЛОГИЯ",7724537843,15719000.00,14899000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "КАРМЕНЕР",7714841629,4282000.00,8670000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "САНАТОРНО-КУРОРТНОЕ ОБЪЕДИНЕНИЕ ЗАПАДНО-СИБИРСКОГО ЗЕМЛЯЧЕСТВА",7703541687,11583000.00,9945000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ИНФО-СЕТЬ",6671312560,952000.00,908000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ТОК",4028045873,30329000.00,28555000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СТАНДАРТБАЛАНС",4028045601,5207000.00,784000.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "АВТО СТИМУЛ",7723801478,0.00,0.00
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "НАШЕ ВИНО",7714841611,0.00,33000.00
